Date,Price
20/2/2014,1315.32
21/2/2014,1319.93
24/2/2014,1338.43
25/2/2014,1340.95
26/2/2014,1325.43
27/2/2014,1333.93
28/2/2014,1325.7
3/3/2014,1353.99
4/3/2014,1336.97
5/3/2014,1338.32
6/3/2014,1345.82
7/3/2014,1335.84
10/3/2014,1340.95
11/3/2014,1341.54
12/3/2014,1365.74
13/3/2014,1372.25
14/3/2014,1376.15
17/3/2014,1373.05
18/3/2014,1358.45
19/3/2014,1341.34
20/3/2014,1330.45
21/3/2014,1335.1
24/3/2014,1311.74
25/3/2014,1311.95
26/3/2014,1303.93
27/3/2014,1295.87
28/3/2014,1291.8
31/3/2014,1289.28
1/4/2014,1281.15
2/4/2014,1292.63
3/4/2014,1288.4
4/4/2014,1305.61
7/4/2014,1301.18
8/4/2014,1309.34
9/4/2014,1305.88
10/4/2014,1320.68
11/4/2014,1318.25
14/4/2014,1328.79
15/4/2014,1302.13
16/4/2014,1299.7
17/4/2014,1298.9
18/4/2014,1298.9
21/4/2014,1286.63
22/4/2014,1283.2
23/4/2014,1284.19
24/4/2014,1288.97
25/4/2014,1302.07
28/4/2014,1294.49
29/4/2014,1299.35
30/4/2014,1293.7
1/5/2014,1282.28
2/5/2014,1302.57
5/5/2014,1310.96
6/5/2014,1307.55
7/5/2014,1297.06
8/5/2014,1288.68
9/5/2014,1288.15
12/5/2014,1298.69
13/5/2014,1297.03
14/5/2014,1305.53
15/5/2014,1299.6
16/5/2014,1293.93
19/5/2014,1298.55
20/5/2014,1293.9
21/5/2014,1289.6
22/5/2014,1296.05
23/5/2014,1292.81
26/5/2014,1292.59
27/5/2014,1268.61
28/5/2014,1257.24
29/5/2014,1258.65
30/5/2014,1244.66
2/6/2014,1245.43
3/6/2014,1244.81
4/6/2014,1243.97
5/6/2014,1254.18
6/6/2014,1252.71
9/6/2014,1253.93
10/6/2014,1260.53
11/6/2014,1262.53
12/6/2014,1272.65
13/6/2014,1274.03
16/6/2014,1275.5
17/6/2014,1269.93
18/6/2014,1270.73
19/6/2014,1299.32
20/6/2014,1315.32
23/6/2014,1316.93
24/6/2014,1319.2
25/6/2014,1318.7
26/6/2014,1314.18
27/6/2014,1319.39
30/6/2014,1316.93
1/7/2014,1329.03
2/7/2014,1329.3
3/7/2014,1318.7
4/7/2014,1320.49
7/7/2014,1314.38
8/7/2014,1315.59
9/7/2014,1323.8
10/7/2014,1338
11/7/2014,1335.4
14/7/2014,1308.2
15/7/2014,1297.78
16/7/2014,1301.55
17/7/2014,1303.8
18/7/2014,1307.65
21/7/2014,1313.17
22/7/2014,1305.75
23/7/2014,1305.91
24/7/2014,1289.6
25/7/2014,1299.05
28/7/2014,1304.21
29/7/2014,1298.85
30/7/2014,1294.25
31/7/2014,1286.06
1/8/2014,1294.69
4/8/2014,1288.7
5/8/2014,1284.15
6/8/2014,1307.82
7/8/2014,1307.3
8/8/2014,1311.32
11/8/2014,1306.9
12/8/2014,1315.23
13/8/2014,1311.94
14/8/2014,1312.68
15/8/2014,1305.1
18/8/2014,1298.22
19/8/2014,1295.07
20/8/2014,1294.06
21/8/2014,1277.3
22/8/2014,1278.3
25/8/2014,1276.34
26/8/2014,1283.46
27/8/2014,1282.9
28/8/2014,1289.55
29/8/2014,1287.93
1/9/2014,1287.29
2/9/2014,1265.1
3/9/2014,1267.74
4/9/2014,1269.46
5/9/2014,1266.67
8/9/2014,1254.14
9/9/2014,1255.78
10/9/2014,1248.75
11/9/2014,1238.87
12/9/2014,1230.4
15/9/2014,1233.54
16/9/2014,1233.05
17/9/2014,1236.23
18/9/2014,1226.91
19/9/2014,1217.48
22/9/2014,1213.34
23/9/2014,1222.15
24/9/2014,1218.16
25/9/2014,1218.32
26/9/2014,1215.68
29/9/2014,1217.26
30/9/2014,1212.83
1/10/2014,1213.9
2/10/2014,1214.98
3/10/2014,1194.02
6/10/2014,1201.72
7/10/2014,1210.48
8/10/2014,1210.17
9/10/2014,1223.6
10/10/2014,1221.68
13/10/2014,1229.32
14/10/2014,1231.55
15/10/2014,1241.23
16/10/2014,1240.22
17/10/2014,1233.27
20/10/2014,1244.1
21/10/2014,1252.89
22/10/2014,1244.07
23/10/2014,1226.77
24/10/2014,1230.74
27/10/2014,1228.94
28/10/2014,1229.21
29/10/2014,1223.22
30/10/2014,1200.14
31/10/2014,1165.69
3/11/2014,1169.23
4/11/2014,1169.99
5/11/2014,1146
6/11/2014,1146.3
7/11/2014,1165.26
10/11/2014,1163.7
11/11/2014,1156.04
12/11/2014,1164.9
13/11/2014,1162.6
14/11/2014,1172.75
17/11/2014,1185.2
18/11/2014,1196.06
19/11/2014,1180.38
20/11/2014,1190.77
21/11/2014,1205.32
24/11/2014,1197.05
